id,score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pmn8R,-1,7711910472669,0.000000,1,3.555348,3.951244,62.857143,0.000000,0.000000,0,0,6.955593,55,1,0,0,1,1,0,0,5,2.890372,0.000000,0.000000
Vanub,-1,265871608147,0.000000,1,4.852030,5.831882,0.000000,0.000000,0.000000,0,0,3.784190,3,0,0,0,0,1,0,0,7,2.302585,0.000000,0.000000
ThCxD,-1,6369495493863,1.337714,1,3.135494,3.044522,0.000000,0.000000,0.000000,0,0,3.044522,2,1,0,0,1,0,0,0,8,2.772589,0.000000,0.000000
ChNxD,-1,1320214998,1.117460,1,1.609438,1.098612,0.000000,3.005259,5.050507,0,0,3.737670,2,1,0,0,0,1,1,0,1,2.995732,0.000000,0.000000
UiWMg,-1,1206884885857,3.085500,1,4.317488,4.025352,0.000000,0.000000,0.000000,0,0,3.526361,3,1,0,0,1,0,0,0,4,2.484907,0.000000,0.000000
naiXA,+1,1222073882654,1.832085,1,1.791759,2.397895,0.000000,0.000000,0.000000,0,0,4.564348,5,1,0,0,1,0,0,0,3,2.484907,0.000000,0.000000
dg444,+1,130322514961,2.080163,1,4.442651,4.682131,0.000000,0.000000,0.000000,0,0,3.713572,0,1,0,0,1,0,0,0,11,3.295837,0.000000,0.000000
uSHxh,+1,1583233111,0.000000,1,4.330733,3.828641,0.000000,0.000000,0.000000,0,0,1.945910,0,1,0,1,0,0,1,0,2,2.197225,0.000000,0.000000
QDF9j,+1,1218328296,1.796502,0,0.000000,0.693147,0.000000,0.000000,0.000000,0,0,3.784190,1,1,0,0,1,0,0,0,9,2.772589,0.000000,0.000000
FhGiq,+1,1392234643950,0.000000,1,3.465736,4.369448,79.000000,0.000000,0.000000,0,0,4.553877,0,1,0,0,0,0,0,0,2,1.386294,0.000000,0.000000
FSIO4,-1,3147642067,1.482718,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1.098612,0,1,0,0,0,0,0,0,3,2.772589,0.000000,0.000000
BQJ4K,+1,6740690416683,1.715109,1,3.871201,5.459586,0.000000,0.000000,0.000000,0,0,4.174387,4,1,0,0,0,0,1,0,2,1.791759,0.000000,0.000000
n17Ps,-1,15932877108955,2.727787,1,4.905275,7.181592,0.000000,0.000000,0.000000,1,0,3.806662,1,1,0,0,0,1,0,0,2,2.484907,0.000000,0.000000
C6mRi,+1,6355270366459,3.310750,1,4.143135,4.043051,67.000000,0.000000,0.000000,0,0,5.583496,15,1,0,0,1,1,0,0,3,2.079442,0.000000,0.000000
sMReu,-1,2400827828503,0.000000,1,6.122493,6.066108,59.000000,0.000000,0.000000,0,0,3.332205,0,1,0,1,0,0,0,0,4,2.079442,0.000000,0.000000
x4I6i,-1,16522091258454,0.000000,1,5.796058,5.978886,0.000000,0.000000,0.000000,0,0,4.248495,3,1,0,0,0,0,0,0,11,3.401197,0.000000,0.000000
NDqU0,-1,23488417076318,2.027838,1,3.135494,3.610918,0.000000,0.000000,0.000000,0,0,3.828641,1,1,0,0,1,1,0,0,24,3.637586,0.000000,0.000000
LH6yt,-1,196429723184,1.827890,1,3.663562,4.442651,0.000000,0.000000,0.000000,0,0,3.044522,0,1,0,1,1,1,1,0,0,1.609438,0.000000,0.000000
hUqEC,-1,40258063490,2.240409,1,4.276666,3.871201,0.000000,0.000000,0.000000,0,0,3.295837,1,1,0,0,1,0,0,0,4,2.639057,0.000000,0.000000
dcTmQ,-1,5790375776435,0.000000,1,3.332205,3.218876,10.000000,0.000000,0.000000,0,1,1.609438,0,1,0,1,0,0,0,0,0,1.386294,0.000000,0.000000
YgqM3,+1,9016999794377,3.035392,1,1.386294,2.708050,0.000000,0.000000,0.000000,0,0,4.727388,4,1,0,0,1,1,0,0,2,2.197225,0.000000,0.000000
rMnKH,-1,4233872421935,1.865718,1,2.564949,2.833213,0.000000,0.000000,0.000000,0,0,1.945910,0,0,0,0,0,0,1,0,1,1.386294,0.000000,0.000000
yrBrj,-1,3545252043251,1.371623,1,3.713572,4.025352,0.000000,0.000000,0.000000,0,0,1.945910,0,1,0,1,0,0,0,0,1,2.944439,0.000000,0.000000
i5AnJ,-1,1262570964111,0.000000,1,8.557759,7.950150,59.000000,0.000000,0.000000,0,1,1.945910,0,1,0,0,0,0,1,0,1,1.609438,0.000000,0.000000
4AlPC,+1,3923270,0.000000,1,5.874931,7.052721,56.000000,0.000000,0.000000,1,0,4.127134,3,1,0,1,0,0,0,0,17,5.983936,0.000000,0.000000
JeDQk,+1,1051787398,1.811139,1,5.802118,4.644391,0.000000,0.000000,0.000000,0,0,3.713572,4,1,0,1,0,0,3,0,5,2.302585,0.000000,0.000000
SYFGm,+1,8222447237,1.141894,1,4.691348,4.158883,80.000000,0.000000,0.000000,0,0,2.708050,2,1,0,0,1,0,0,0,10,2.833213,0.000000,0.000000
xc5mO,+1,9184836987940,2.130671,1,3.988984,5.093750,0.000000,0.000000,0.000000,0,0,5.655992,9,1,0,0,0,1,1,0,2,1.791759,0.000000,0.000000
sajOT,-1,1563545175573,1.049416,1,3.761200,2.197225,0.000000,0.000000,0.000000,0,0,2.197225,0,0,0,0,0,0,0,0,1,2.079442,0.000000,0.000000
uLg1w,+1,15775646032941,1.894805,1,4.510860,4.418841,0.000000,0.000000,0.000000,0,0,2.890372,1,1,0,0,0,0,0,0,2,1.945910,0.000000,0.000000
b0KTF,-1,166164146787,0.000000,1,4.465908,3.663562,0.000000,0.000000,0.000000,0,0,3.295837,2,1,0,0,0,0,0,0,1,1.386294,0.000000,0.000000
46jvs,-1,14973242120018,1.962475,1,2.397895,2.944439,0.000000,1.689824,3.497987,0,0,4.382027,1,1,0,0,1,0,0,0,16,4.158883,0.000000,0.000000
iQZfY,+1,134581674817,3.335125,1,2.079442,2.197225,0.000000,0.000000,0.000000,0,0,3.912023,3,1,0,0,1,0,0,0,4,2.397895,0.000000,0.000000
aI3sF,-1,5347737474583,0.000000,1,5.278115,4.317488,53.333333,0.000000,0.000000,0,0,3.850148,2,0,0,0,0,0,0,0,6,3.218876,0.000000,0.000000
FLvRQ,+1,749060531835,1.308763,1,4.465908,3.988984,60.000000,0.000000,0.000000,0,0,3.555348,1,1,0,0,1,0,0,0,55,5.669881,0.000000,0.000000
ekGWP,-1,81763757,1.347760,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1.386294,0,0,0,0,0,0,0,0,1,1.791759,0.000000,0.000000
blDKi,+1,1894440769520,1.857585,1,2.484907,1.386294,0.000000,0.000000,0.000000,0,0,3.610918,0,1,0,0,1,0,0,0,4,1.945910,0.000000,0.000000
mc6j7,+1,8886883404433,1.184911,1,4.488636,4.454347,60.000000,0.000000,0.000000,0,0,2.302585,0,0,0,0,1,0,2,0,2,2.079442,0.000000,0.000000
ndnWE,-1,1965731807,0.000000,0,2.484907,2.708050,0.000000,0.000000,0.000000,0,0,2.079442,0,0,0,0,0,0,0,0,3,2.079442,0.000000,0.000000
D4VMR,-1,1058109891,1.138874,1,1.791759,1.098612,0.000000,0.000000,0.000000,0,0,3.258097,0,1,0,0,1,0,1,0,4,1.945910,0.000000,0.000000
PeDsG,-1,701901385,1.304076,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.753590,2,1,0,0,1,0,0,0,4,2.772589,0.000000,0.000000
E3Ytp,-1,4359793982639,1.335648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,2.890372,1,1,0,0,1,0,0,0,3,2.484907,0.000000,0.000000
a0tzG,+1,8359115,1.714835,1,1.386294,2.197225,0.000000,0.000000,0.000000,0,0,3.663562,2,1,0,0,1,0,2,0,96,6.345636,0.000000,0.000000
HjYvN,+1,9589950420266,3.035392,1,1.386294,2.708050,0.000000,0.000000,0.000000,0,0,4.753590,5,1,0,0,0,0,0,0,2,2.397895,0.000000,0.000000
OlmmN,+1,10708223086172,2.576884,1,3.258097,3.526361,0.000000,0.000000,0.000000,0,0,4.174387,2,1,0,0,0,1,2,0,1,1.098612,0.000000,0.000000
b9jND,+1,959012731,4.088216,1,4.997212,5.505332,80.000000,0.000000,0.000000,0,0,3.433987,2,0,0,0,0,0,1,0,9,3.218876,0.000000,0.000000
WA1v0,+1,3919211740762,0.000000,1,4.158883,4.262680,0.000000,0.000000,0.000000,0,0,2.564949,0,1,0,0,0,0,1,0,1,1.609438,0.000000,0.000000
UeePA,-1,7873941311962,0.000000,1,3.555348,3.951244,62.857143,5.135444,0.000000,0,0,3.555348,1,1,0,0,1,1,0,0,6,2.890372,0.000000,0.000000
6Crqm,-1,5318638548018,0.000000,1,5.407172,5.525453,0.000000,0.000000,0.000000,0,0,2.833213,0,1,0,0,1,0,0,0,4,2.772589,0.000000,0.000000
sYBFK,+1,9953631016280,1.994433,1,4.624973,5.017280,45.000000,0.000000,0.000000,0,0,2.708050,4,0,0,0,0,0,0,0,8,2.995732,0.000000,0.000000
di2Bl,+1,11114388197698,4.321786,1,3.610918,3.891820,0.000000,0.000000,0.000000,0,0,5.529429,20,1,0,0,1,1,0,0,3,1.945910,0.000000,0.000000
u6RsA,+1,4897610305,0.000000,1,0.000000,1.098612,0.000000,0.000000,0.000000,0,0,3.258097,1,0,0,0,1,0,0,0,2,2.079442,0.000000,0.000000
tziQE,+1,686042761283,1.801665,1,3.970292,4.094345,0.000000,0.000000,0.000000,0,0,4.615121,0,1,0,0,1,1,0,0,1,1.098612,0.000000,0.000000
iN16G,-1,3578370717215,2.009702,1,3.891820,4.442651,0.000000,0.000000,4.295484,0,0,4.174387,9,1,0,0,1,1,0,0,2,2.944439,0.000000,0.000000
bvqQT,+1,145938159890,4.382893,1,4.605170,6.302619,0.000000,0.000000,0.000000,0,0,4.304065,3,1,0,0,0,1,0,0,1,1.386294,0.000000,0.000000
tgX2W,-1,1470818444,0.000000,1,3.401197,2.944439,0.000000,0.000000,0.000000,0,0,2.708050,2,1,0,0,0,0,0,0,6,2.302585,0.000000,0.000000
7WH2K,+1,709442814854,3.265762,1,3.583519,4.369448,0.000000,0.000000,0.000000,0,0,4.060443,0,1,0,0,1,0,0,0,1,1.098612,0.000000,0.000000
NvgXg,-1,833259230032,0.000000,1,4.795791,3.258097,0.000000,0.000000,0.000000,0,0,2.197225,0,1,0,1,0,1,1,0,6,2.564949,0.000000,0.000000
Hpg2e,-1,222985229,0.000000,1,2.944439,1.386294,0.000000,0.000000,0.000000,0,0,3.784190,4,1,0,0,1,0,0,0,17,3.610918,0.000000,0.000000
qPmb1,+1,8463958341113,1.741764,1,3.526361,3.218876,0.000000,0.000000,0.000000,0,0,5.017280,6,1,0,0,0,1,0,0,3,3.433987,0.000000,0.000000
iFZyn,-1,25899888185,1.432693,1,1.098612,1.098612,0.000000,0.000000,1.421309,1,0,1.791759,0,1,0,0,1,0,0,0,3,1.791759,0.000000,0.000000
BerRh,-1,3652869427137,0.000000,0,0.000000,1.098612,64.000000,0.000000,0.000000,0,0,1.791759,0,1,0,0,1,0,0,0,1,1.098612,0.000000,0.000000
nsSPS,-1,272164454,0.000000,1,3.555348,3.988984,0.000000,3.828513,0.000000,0,0,3.737670,1,1,0,1,1,0,0,0,4,1.945910,0.000000,0.000000
ND1Sm,+1,9851194116966,2.961305,1,2.995732,5.501258,0.000000,0.000000,0.000000,0,0,2.397895,1,1,0,0,1,0,0,0,12,2.944439,0.000000,0.000000
2MK88,+1,711048661547,4.001038,1,2.944439,3.465736,0.000000,0.000000,0.000000,0,0,2.772589,0,1,0,0,1,0,0,0,13,3.555348,0.000000,0.000000
G4Yzz,-1,1441449593,0.000000,1,3.850148,4.727388,0.000000,0.000000,0.000000,0,0,3.178054,2,1,0,0,1,0,0,0,5,3.044522,0.000000,0.000000
jc116,+1,2018608171,2.017836,0,1.098612,0.000000,0.000000,0.000000,0.000000,0,0,3.828641,1,1,0,0,1,1,0,0,1,1.386294,0.000000,0.000000
Ryu9p,-1,782374419249,0.000000,1,4.290459,4.077537,0.000000,0.000000,0.000000,0,0,0.693147,0,1,0,0,1,0,0,0,5,2.484907,0.000000,0.000000
KKbYs,+1,610397476583,2.118131,1,4.770685,4.736198,0.000000,0.000000,0.000000,0,0,4.574711,0,1,0,0,1,1,0,0,2,1.791759,0.000000,0.000000
kw78H,-1,4398546334951,0.000000,1,4.934474,4.770685,0.000000,0.000000,0.000000,0,1,4.110874,1,1,1,0,1,0,0,0,1,1.386294,0.000000,0.000000
Mj72O,+1,3936290066,1.743744,1,2.197225,1.791759,0.000000,0.000000,0.000000,0,0,3.610918,2,1,0,0,1,0,1,0,1,1.386294,0.000000,0.000000
7XGCm,+1,9699602269246,4.257271,1,4.276666,6.338594,0.000000,0.000000,0.000000,0,0,6.363028,29,1,0,0,1,1,0,0,11,5.236442,0.000000,0.000000
ZNdXP,-1,258261562262,1.650516,1,0.693147,0.693147,0.000000,0.000000,0.000000,0,0,5.673323,65,1,0,0,0,0,0,0,6,2.639057,0.000000,0.000000
2SmrB,-1,16320056010587,1.051248,1,4.499810,3.637586,57.142857,0.000000,0.000000,0,1,3.401197,0,1,1,0,1,0,1,0,3,2.302585,0.000000,0.000000
c8ZGv,-1,762072669267,0.000000,1,4.564348,2.944439,68.000000,0.000000,0.000000,0,0,2.197225,1,1,0,0,1,0,0,0,15,4.595120,0.000000,0.000000
R1uUT,-1,185200119598,0.000000,1,2.772589,2.944439,46.000000,0.000000,0.000000,0,0,2.197225,0,0,0,1,0,0,0,0,0,2.564949,0.000000,0.000000
Qdg0I,+1,6807715998216,2.299254,1,3.610918,3.784190,0.000000,0.000000,0.000000,0,0,4.727388,8,1,0,0,1,1,2,0,3,2.484907,0.000000,0.000000
Puuhr,+1,3428366097497,3.130488,1,3.850148,5.003946,80.000000,0.000000,0.000000,0,0,4.990433,5,1,0,0,1,1,1,0,7,4.189655,0.000000,0.000000
I4dXk,-1,265132202762,0.000000,1,4.290459,4.234107,50.000000,0.000000,1.689824,0,0,4.077537,3,1,0,1,0,1,0,0,2,2.484907,0.000000,0.000000
TKeC8,+1,598841246870,3.078251,1,1.945910,1.945910,0.000000,0.000000,0.000000,0,0,5.849325,17,1,0,0,0,1,0,0,9,4.454347,0.000000,0.000000
q4Eot,-1,11246637888277,1.376879,0,1.098612,0.000000,68.000000,0.000000,0.000000,0,1,3.806662,0,1,0,0,1,0,0,0,1,1.386294,0.000000,0.000000
8DU6q,-1,4322895319256,0.000000,1,2.995732,6.194405,0.000000,0.000000,0.000000,0,0,4.304065,1,1,0,0,0,1,1,0,7,2.564949,0.000000,0.000000
Zrz9F,-1,83088954896,0.000000,1,5.991465,5.771441,68.000000,0.000000,0.000000,0,0,2.302585,0,0,0,0,1,0,0,0,4,3.496508,0.000000,0.000000
k6Tzy,+1,353074615,1.741764,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.143135,2,1,0,0,0,0,1,0,5,2.079442,0.000000,0.000000
jcnvy,+1,1524659777000,3.164304,1,3.610918,4.219508,0.000000,0.000000,0.000000,0,0,5.293305,6,1,0,0,0,1,5,0,12,4.454347,0.000000,0.000000
y4UYN,+1,388931173,0.000000,1,2.639057,3.218876,0.000000,0.000000,0.000000,0,0,1.791759,0,1,0,0,0,0,1,0,1,2.079442,0.000000,0.000000
vpmUE,-1,91673102999,0.000000,0,2.079442,0.693147,65.000000,0.000000,0.000000,0,0,3.465736,3,1,0,0,1,0,0,0,1,1.609438,0.000000,0.000000
ahWZS,-1,952394609319,1.896632,1,3.912023,3.688879,0.000000,6.433044,0.000000,0,0,3.044522,0,1,0,0,1,0,0,0,14,2.995732,0.000000,0.000000
HA2IU,+1,439310052908,1.800841,1,1.945910,2.564949,0.000000,0.000000,0.000000,0,0,5.068904,5,1,0,0,0,1,0,0,1,1.609438,0.000000,0.000000
zmKaV,+1,242992210953,3.108692,1,3.367296,4.007333,77.000000,0.000000,0.000000,0,0,4.564348,0,1,0,0,0,1,4,0,14,4.852030,0.000000,0.000000
R9UXN,+1,5105368406022,1.976500,1,5.257495,5.204007,74.000000,0.000000,0.000000,0,0,6.833032,90,1,0,0,0,1,4,0,11,4.025352,0.000000,0.000000
OBHiq,-1,528287325712,1.627431,1,4.919981,4.564348,0.000000,0.000000,2.191021,1,0,1.609438,0,1,0,0,1,0,0,0,8,2.708050,0.000000,0.000000
6HaKJ,-1,54924992043,1.291373,1,2.397895,2.484907,0.000000,0.000000,0.000000,0,0,1.945910,0,0,0,0,0,0,0,0,0,1.791759,0.000000,0.000000
w66uD,+1,11228952591242,2.982338,1,4.234107,4.990433,0.000000,0.000000,0.000000,0,0,3.091042,0,1,0,0,1,0,0,0,1,3.044522,0.000000,0.000000
lHheT,+1,924360420,2.024508,1,2.197225,2.639057,0.000000,0.000000,0.000000,0,0,4.787492,6,1,0,1,0,1,0,0,9,3.688879,0.000000,0.000000
oq99x,-1,260913142896,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.890372,0,1,1,1,0,0,0,0,0,1.386294,0.000000,0.000000
BOrZe,-1,915020380,0.000000,0,1.386294,0.000000,0.000000,0.000000,0.000000,0,0,3.258097,1,0,0,0,1,0,0,0,22,5.568345,0.000000,0.000000
SWTgZ,+1,1949588594,3.064122,1,4.060443,4.852030,0.000000,0.000000,0.000000,0,0,3.931826,4,1,0,0,1,0,0,0,2,1.945910,0.000000,0.000000
N38ac,+1,601214700,1.741764,1,2.772589,3.401197,0.000000,0.000000,0.000000,0,0,3.178054,1,1,0,0,1,0,0,0,2,2.079442,0.000000,0.000000
fljmQ,+1,8641922113319,1.664957,1,2.079442,3.295837,0.000000,0.000000,0.000000,0,0,2.944439,1,1,0,0,1,0,0,0,13,2.995732,0.000000,0.000000
AEQSD,+1,191232417833,2.379375,1,5.420535,4.969813,0.000000,0.000000,0.000000,0,0,3.526361,1,1,0,0,1,0,0,0,2,1.791759,0.000000,0.000000
gxmMw,-1,2176513538130,0.000000,0,3.401197,2.995732,62.000000,0.000000,0.000000,0,1,3.401197,1,1,0,0,0,0,0,0,1,1.791759,0.000000,0.000000
ZteAt,-1,2114074263,0.000000,1,2.484907,2.944439,0.000000,0.000000,2.494037,1,0,1.609438,0,0,0,1,1,0,0,0,4,2.639057,0.000000,0.000000
bzbvk,+1,4089848792792,2.042034,1,3.806662,4.110874,88.000000,0.000000,0.000000,0,0,1.791759,0,1,0,0,0,0,0,0,3,1.609438,0.000000,0.000000
85b74,-1,1957541710,0.000000,1,4.499810,4.852030,0.000000,0.000000,0.000000,0,0,3.332205,0,1,0,0,1,0,0,0,1,3.135494,0.000000,0.000000
RFsYq,-1,799768701,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,3.951244,0,1,0,0,0,0,0,0,2,1.609438,0.000000,0.000000
x8p4m,-1,3153522847057,0.000000,1,7.303843,6.683361,0.000000,0.000000,2.095238,3,0,2.708050,0,1,0,0,0,0,0,0,13,3.091042,0.000000,0.000000
Tpzhy,+1,633937215024,4.161248,1,5.659482,6.467699,0.000000,5.264985,0.000000,0,0,4.779123,4,1,0,0,0,1,0,0,3,2.397895,0.000000,0.000000
XC5IA,+1,3728837982513,3.331258,1,3.401197,3.688879,94.444444,0.000000,0.000000,0,0,5.036953,9,1,0,0,1,1,0,0,5,2.079442,0.000000,0.000000
847Gc,+1,6674907490373,1.793936,1,2.833213,4.700480,0.000000,0.000000,0.000000,0,0,3.988984,5,1,0,0,1,0,0,0,1,1.386294,0.000000,0.000000
byfgX,+1,10176377713697,1.962205,1,4.812184,5.513429,75.000000,0.000000,0.000000,0,0,4.795791,5,1,0,0,1,1,0,0,3,3.044522,0.000000,0.000000
HzOlM,+1,171872508840,1.475899,1,3.433987,2.944439,0.000000,0.000000,0.000000,1,0,3.583519,1,1,0,0,1,0,1,0,3,2.564949,0.000000,0.000000
sepsn,-1,1969716351,0.000000,1,0.000000,1.386294,0.000000,0.000000,0.000000,0,0,0.693147,0,0,0,0,0,0,1,0,7,4.189655,0.000000,0.000000
jEL9s,+1,5925573520,1.914374,1,0.693147,2.079442,0.000000,0.000000,0.000000,0,0,4.595120,4,1,0,0,1,1,0,0,8,3.828641,0.000000,0.000000
JWSjC,-1,2673328513,0.000000,1,1.791759,1.791759,0.000000,0.000000,0.000000,0,0,0.693147,0,0,0,0,0,0,0,0,2,3.258097,0.000000,0.000000
SUglS,+1,698875593148,0.000000,1,4.204693,4.077537,80.000000,0.000000,0.000000,0,0,3.295837,0,1,0,0,0,0,0,0,2,1.386294,0.000000,0.000000
YRKUH,-1,93437935043,1.889882,1,3.970292,2.833213,0.000000,5.041673,0.000000,1,0,3.332205,0,1,0,0,0,0,1,0,1,1.098612,0.000000,0.000000
5yycw,-1,331017501322,3.201591,1,4.919981,4.110874,100.000000,0.000000,0.000000,0,0,1.098612,0,0,0,0,0,0,0,0,8,2.772589,0.000000,0.000000
YEVat,-1,270228356616,0.000000,1,4.812184,4.762174,0.000000,0.000000,0.000000,0,0,2.397895,0,1,0,0,0,0,0,0,8,3.401197,0.000000,0.000000
zjOmC,-1,156112964258,0.000000,1,1.386294,0.693147,0.000000,0.000000,6.513265,2,0,3.044522,1,1,0,0,1,0,0,0,3,1.945910,0.000000,0.000000
7aaLL,-1,483879663648,1.894658,1,5.669881,6.042633,0.000000,0.000000,0.000000,0,0,4.110874,2,1,0,0,0,0,1,0,2,2.833213,0.000000,0.000000
IJq6H,+1,10770769178493,1.944791,1,2.639057,2.639057,0.000000,0.000000,0.000000,0,0,4.919981,6,1,0,0,1,1,0,0,4,2.772589,0.000000,0.000000
QzpD0,+1,9514776316846,1.855873,1,4.955827,5.402677,0.000000,0.000000,0.000000,0,0,2.197225,0,1,0,0,0,0,0,0,1,1.609438,0.000000,0.000000
7p3a9,+1,8891325594389,1.879912,1,2.484907,2.890372,83.000000,0.000000,0.000000,0,0,2.995732,1,1,0,0,0,0,0,0,4,2.197225,0.000000,0.000000
gr3In,-1,1674476010,0.000000,1,0.000000,0.000000,0.000000,0.000000,1.958154,1,0,4.356709,1,1,0,0,0,1,0,0,2,2.564949,0.000000,0.000000
wKaos,-1,1556283692,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,2.708050,0,1,0,0,1,0,0,0,2,2.302585,0.000000,0.000000
NLNFQ,+1,28782407870,2.760324,1,1.609438,2.079442,0.000000,0.000000,0.000000,0,0,4.890349,14,1,0,0,0,0,7,0,2,1.386294,0.000000,0.000000
6rq0Y,-1,510799774054,1.018857,1,5.252273,5.700444,65.555556,0.000000,3.555536,1,0,4.060443,1,1,0,0,0,1,1,0,66,5.361292,0.000000,0.000000
sjoRi,-1,2421001992146,1.681977,1,4.820282,4.110874,0.000000,0.000000,3.918148,1,1,4.317488,6,1,0,0,1,0,0,0,5,3.178054,0.000000,0.000000
9T6wt,-1,288555774535,1.048119,1,5.823046,5.220356,0.000000,0.000000,0.000000,0,0,4.276666,5,1,0,0,1,0,1,0,1,2.564949,0.000000,0.000000
9t7CY,-1,48575786,1.427308,1,0.000000,0.000000,0.000000,4.195989,0.000000,0,0,1.791759,0,0,0,0,0,0,0,0,14,3.688879,0.000000,0.000000
InAHH,-1,173291055552,1.322126,1,3.663562,1.945910,0.000000,0.000000,0.000000,0,0,1.098612,0,0,0,0,0,0,0,0,0,1.098612,0.000000,0.000000
LEtE0,+1,19987083596,6.199944,1,4.762174,8.326517,0.000000,0.000000,0.000000,0,0,2.197225,0,1,0,0,0,0,1,0,9,3.367296,0.000000,0.000000
